"",Unnamed: 0,DATA NUMBER,YEAR,MONTH,DAY,HOUR,TYPHOON NUMBER,TYPHOON NAME,CLASS,LAT,LON,CENTRAL PRESSURE,MAX WINDSPEED,50KT MAJORAXIS DIRECTION,50KT MAJORAXIS,50KT MINORAXIS,30KT MAJORAXIS DIRECTION,30KT MAJORAXIS,30KT MINORAXIS,LANDING,Datetime,unixtime
41,41,41,2017,7,1,6,1703,NANMADOL,2,15.0,132.2,1006,0,0,0,0,0,0,0,0,2017-07-01 06:00:00,1498888800
42,42,42,2017,7,1,12,1703,NANMADOL,2,16.8,130.5,1006,0,0,0,0,0,0,0,0,2017-07-01 12:00:00,1498910400
43,43,43,2017,7,1,18,1703,NANMADOL,2,18.8,128.9,1006,0,0,0,0,0,0,0,0,2017-07-01 18:00:00,1498932000
44,44,44,2017,7,2,0,1703,NANMADOL,3,20.7,127.1,1002,35,0,0,0,9,60,60,0,2017-07-02 00:00:00,1498953600
45,45,45,2017,7,2,6,1703,NANMADOL,3,21.9,125.7,1002,35,0,0,0,9,60,60,0,2017-07-02 06:00:00,1498975200
46,46,46,2017,7,2,12,1703,NANMADOL,3,23.5,124.8,998,40,0,0,0,9,60,60,0,2017-07-02 12:00:00,1498996800
47,47,47,2017,7,2,18,1703,NANMADOL,4,24.7,124.1,990,50,0,0,0,2,100,60,0,2017-07-02 18:00:00,1499018400
48,48,48,2017,7,3,0,1703,NANMADOL,4,26.2,124.3,990,50,0,0,0,2,100,60,0,2017-07-03 00:00:00,1499040000
49,49,49,2017,7,3,6,1703,NANMADOL,4,27.7,125.0,985,55,9,20,20,2,100,60,0,2017-07-03 06:00:00,1499061600
50,50,50,2017,7,3,12,1703,NANMADOL,4,29.4,126.2,985,55,9,20,20,2,100,60,0,2017-07-03 12:00:00,1499083200
51,51,52,2017,7,3,18,1703,NANMADOL,4,31.3,127.7,985,55,9,20,20,2,100,60,0,2017-07-03 18:00:00,1499104800
52,52,55,2017,7,4,0,1703,NANMADOL,4,32.8,130.5,990,50,0,0,0,3,100,60,0,2017-07-04 00:00:00,1499126400
53,53,57,2017,7,4,6,1703,NANMADOL,4,33.6,134.2,990,50,0,0,0,3,100,60,0,2017-07-04 06:00:00,1499148000
54,54,60,2017,7,4,12,1703,NANMADOL,4,34.1,138.3,990,50,0,0,0,4,120,60,0,2017-07-04 12:00:00,1499169600
55,55,62,2017,7,4,18,1703,NANMADOL,4,35.5,142.6,990,50,0,0,0,4,120,60,0,2017-07-04 18:00:00,1499191200
56,56,63,2017,7,5,0,1703,NANMADOL,6,36.1,146.0,994,0,0,0,0,0,0,0,0,2017-07-05 00:00:00,1499212800
57,57,64,2017,7,5,6,1703,NANMADOL,6,36.9,150.7,994,0,0,0,0,0,0,0,0,2017-07-05 06:00:00,1499234400
58,58,65,2017,7,5,12,1703,NANMADOL,6,38.2,154.8,994,0,0,0,0,0,0,0,0,2017-07-05 12:00:00,1499256000
59,59,66,2017,7,5,18,1703,NANMADOL,6,40.3,160.2,994,0,0,0,0,0,0,0,0,2017-07-05 18:00:00,1499277600
60,60,67,2017,7,6,0,1703,NANMADOL,6,43.0,166.1,992,0,0,0,0,0,0,0,0,2017-07-06 00:00:00,1499299200
61,61,68,2017,7,6,6,1703,NANMADOL,6,46.4,169.9,988,0,0,0,0,0,0,0,0,2017-07-06 06:00:00,1499320800
62,62,69,2017,7,6,12,1703,NANMADOL,6,49.8,171.4,988,0,0,0,0,0,0,0,0,2017-07-06 12:00:00,1499342400
63,63,70,2017,7,6,18,1703,NANMADOL,6,50.6,170.4,990,0,0,0,0,0,0,0,0,2017-07-06 18:00:00,1499364000
64,64,71,2017,7,7,0,1703,NANMADOL,6,51.0,170.6,990,0,0,0,0,0,0,0,0,2017-07-07 00:00:00,1499385600
65,65,72,2017,7,7,6,1703,NANMADOL,6,51.0,171.3,988,0,0,0,0,0,0,0,0,2017-07-07 06:00:00,1499407200
66,66,73,2017,7,7,12,1703,NANMADOL,6,50.9,172.3,988,0,0,0,0,0,0,0,0,2017-07-07 12:00:00,1499428800
67,67,74,2017,7,7,18,1703,NANMADOL,6,50.9,174.6,990,0,0,0,0,0,0,0,0,2017-07-07 18:00:00,1499450400
68,68,75,2017,7,8,0,1703,NANMADOL,6,51.4,177.2,992,0,0,0,0,0,0,0,0,2017-07-08 00:00:00,1499472000
69,69,76,2017,7,8,6,1703,NANMADOL,6,52.1,179.6,992,0,0,0,0,0,0,0,0,2017-07-08 06:00:00,1499493600
