"",Unnamed: 0,DATA NUMBER,YEAR,MONTH,DAY,HOUR,TYPHOON NUMBER,TYPHOON NAME,CLASS,LAT,LON,CENTRAL PRESSURE,MAX WINDSPEED,50KT MAJORAXIS DIRECTION,50KT MAJORAXIS,50KT MINORAXIS,30KT MAJORAXIS DIRECTION,30KT MAJORAXIS,30KT MINORAXIS,LANDING,Datetime,unixtime
130,130,130,2014,6,13,0,1407,HAGIBIS,2,18.8,116.0,998,0,0,0,0,0,0,0,0,2014-06-13 00:00:00,1402617600
131,131,131,2014,6,13,6,1407,HAGIBIS,2,19.4,116.7,998,0,0,0,0,0,0,0,0,2014-06-13 06:00:00,1402639200
132,132,132,2014,6,13,12,1407,HAGIBIS,2,19.6,116.9,998,0,0,0,0,0,0,0,0,2014-06-13 12:00:00,1402660800
133,133,133,2014,6,13,18,1407,HAGIBIS,2,20.1,117.1,998,0,0,0,0,0,0,0,0,2014-06-13 18:00:00,1402682400
134,134,134,2014,6,14,0,1407,HAGIBIS,3,20.6,117.0,996,35,0,0,0,9,180,180,0,2014-06-14 00:00:00,1402704000
135,135,135,2014,6,14,6,1407,HAGIBIS,3,20.9,116.7,996,35,0,0,0,9,180,180,0,2014-06-14 06:00:00,1402725600
136,136,136,2014,6,14,12,1407,HAGIBIS,3,21.2,116.9,996,35,0,0,0,9,180,180,0,2014-06-14 12:00:00,1402747200
137,137,137,2014,6,14,18,1407,HAGIBIS,3,21.6,116.9,996,35,0,0,0,9,180,180,0,2014-06-14 18:00:00,1402768800
138,138,138,2014,6,15,0,1407,HAGIBIS,3,22.0,116.7,996,35,0,0,0,9,150,150,0,2014-06-15 00:00:00,1402790400
139,139,139,2014,6,15,6,1407,HAGIBIS,3,22.7,116.4,996,35,0,0,0,9,120,120,0,2014-06-15 06:00:00,1402812000
140,140,140,2014,6,15,12,1407,HAGIBIS,3,23.0,116.4,996,35,0,0,0,9,80,80,0,2014-06-15 12:00:00,1402833600
